作品Id,专辑名,作者,urlId,专辑链接,标签,作者主页链接,播放量,专辑集数,专辑描述,是否付费,价格,排名
5879804,深夜小茶馆,DJ杨湃,yule/5879804/,https://www.ximalaya.com/yule/5879804/,娱乐,https://www.ximalaya.com/zhubo/39496787/,546102145,265,奇闻说今古·兮香话鬼狐·另类鬼故事·夜夜不孤独。新浪微博搜索-深夜小茶馆-关注...,False,,51
2677356,单田芳经典—白眉大侠,单田芳评书,xiangsheng/2677356/,https://www.ximalaya.com/xiangsheng/2677356/,相声评书,https://www.ximalaya.com/zhubo/1000265/,457208504,319,《白眉大侠》讲述了宋朝四帝仁宗皇帝执政期间，以徐良、白云瑞为书胆，包括七侠、大五义、小五义、小七杰等众开封府校尉，在八王赵德芳、包拯、颜查散等清官的支持下，为保国泰民安而不顾个人安危，抗强暴、战邪恶、,False,,52
16043140,新闻美丽说,马栏山广播站,toutiao/16043140/,https://www.ximalaya.com/toutiao/16043140/,头条,https://www.ximalaya.com/zhubo/4171385/,15182793,158,换一种方式说新闻，让新闻更有趣。,False,,53
16842616,热乎知乎,马栏山广播站,toutiao/16842616/,https://www.ximalaya.com/toutiao/16842616/,头条,https://www.ximalaya.com/zhubo/4171385/,9022964,103,3分钟get知乎最热资讯,False,,54
7054736,怪谈百物语,怪谈百物语,yule/7054736/,https://www.ximalaya.com/yule/7054736/,娱乐,https://www.ximalaya.com/zhubo/1000304/,168383549,484,本节目由喜马拉雅FM独家出品灵异玄幻、鬼怪乱弹、疑团解密……如果你对大千世界好...,False,,55
11848122,每天一个心理知识,心理频道,jiaoyu/11848122/,https://www.ximalaya.com/jiaoyu/11848122/,教育培训,https://www.ximalaya.com/zhubo/1203478/,33060436,275,每天三分钟，让你获得一个心理知识。,False,,56
4482696,无敌天下,华风五,youshengshu/4482696/,https://www.ximalaya.com/youshengshu/4482696/,有声书,https://www.ximalaya.com/zhubo/7351303/,473079831,1644,【内容简介】 强者，永远都是寂寞的，只有战胜寂寞，才能无敌天下！ 地球少林世家亲传弟子黄小龙携带华夏无上武学秘典《易筋经》莫名穿越到了武魂世界。 武魂世界，体内拥有武魂才能修炼斗气成为一名战士，而,False,,57
4775707,上官文露读书会,上官文露,renwen/4775707/,https://www.ximalaya.com/renwen/4775707/,人文,https://www.ximalaya.com/zhubo/3949222/,695780343,403,书中自有黄金屋，书中自有颜如玉 真正的讲书，远不止是讲故事 上官文露和你一起高效读书，拒绝快餐式阅读和心灵鸡汤 用最凝练独到的方式，让你感受到名著之美和世间百态 通过书籍去探索大师眼中,False,,58
11694891,张鹤伦超清相声精选,张鹤伦相声,xiangsheng/11694891/,https://www.ximalaya.com/xiangsheng/11694891/,相声评书,https://www.ximalaya.com/zhubo/29636634/,20150881,58,最近更新：《双截棍》张鹤伦,False,,59
4029382,绝世高手在都市,贰飞文传,youshengshu/4029382/,https://www.ximalaya.com/youshengshu/4029382/,有声书,https://www.ximalaya.com/zhubo/39387436/,267348050,780,萧易，一个被一个为老不尊，淫荡猥琐的老头子养大的孤儿，具有一身神秘的古武神术，和传神的中医绝学，在二十岁这年，突然接到了老头子一个最莫名其妙的任务，去国内有名的一流大学Z大，成为Z大的一个学生，萧易开,False,,60
3493173,糗事播报,糗事播报,yule/3493173/,https://www.ximalaya.com/yule/3493173/,娱乐,https://www.ximalaya.com/zhubo/1000596/,907744208,920,本节目由喜马拉雅fm独家播出七大主播爆笑吐槽糗事囧闻，包你开心一整天,False,,61
11596556,新闻纵横,中国之声,toutiao/11596556/,https://www.ximalaya.com/toutiao/11596556/,头条,https://www.ximalaya.com/zhubo/19414524/,8651730,4858,中央人民广播电台王牌栏目，终身享有“中国新闻名专栏”荣誉。聚焦热点新闻，提示...,False,,62
276477,两个人，一些事,晓希982,qinggan/276477/,https://www.ximalaya.com/qinggan/276477/,情感生活,https://www.ximalaya.com/zhubo/7725987/,128313574,246,两个人，一些事，为你讲述那些年我们的故事。 公众号：两个人一些事 微博@晓希982,False,,63
18290221,体育早报,喜马体育,toutiao/18290221/,https://www.ximalaya.com/toutiao/18290221/,头条,https://www.ximalaya.com/zhubo/107819697/,6420302,127,《体育早报》包络每日体育热点。足球、篮球、网球、排球...以最精简的语言，最轻量化的形式，传递最精准的体育资讯。 每天3分钟，知晓体坛天下事。 栏目介绍： 每天早上6点整 准时叫,False,,64
2897626,全职高手,八音六合丶刺儿,youshengshu/2897626/,https://www.ximalaya.com/youshengshu/2897626/,有声书,https://www.ximalaya.com/zhubo/1511013/,589282531,1544,【内容简介】 网游荣耀中被誉为教科书级别的顶尖高手叶修，因为种种原因遭到俱乐部的驱逐，离开职业圈的他寄身于一家网吧成了一个小小的网管，但是，拥有十年游戏经验的他，在荣耀新开的第十区重新投入了游戏，,False,,65
265897,十点读书,十点读书,renwen/265897/,https://www.ximalaya.com/renwen/265897/,人文,https://www.ximalaya.com/zhubo/9887414/,1107217701,1141,深夜十点，抽空读点书，放松一会，抚慰我们疲惫的心灵。,False,,66
4839087,回忆金典,酷酷的瑞,yinyue/4839087/,https://www.ximalaya.com/yinyue/4839087/,音乐,https://www.ximalaya.com/zhubo/54309715/,99690368,69,小学，中学，大学，直到现在，音乐一直伴随我左右，成为我生活中不可缺少的一部分。不论是快乐或痛苦，幸福或迷惘，激动或不安，都能在音乐中得到舒缓，使我原本落满尘埃的心灵得到净化。我用音乐来了解生活，感受悲,False,,67
16411402,《女神的贴身高手》（头陀渊）免费版,头陀渊讲故事,youshengshu/16411402/,https://www.ximalaya.com/youshengshu/16411402/,有声书,https://www.ximalaya.com/zhubo/10778196/,58970936,382,【强烈推荐】 ●《女神的贴身高手》是一部爆笑都市玄幻修仙，主角不按套路出牌，看似吊儿郎当的小混混，实则是一个内心深邃的绝世高手！由 头陀渊，小桃红，倾情为您演播！ ●超级IP，千万点击！,False,,68
260769,程一电台,DJ程一,qinggan/260769/,https://www.ximalaya.com/qinggan/260769/,情感生活,https://www.ximalaya.com/zhubo/2073524/,130434180,991,睡前一段话，一首歌，温暖陪伴。 新浪微博：DJ程一， 微信公众号：DJ程一（ID : djchengyi）， 程一电台，每晚都会温暖你。,False,,69
3258094,小肉包睡前故事 童话集 儿童故事,肉包来了,ertong/3258094/,https://www.ximalaya.com/ertong/3258094/,儿童,https://www.ximalaya.com/zhubo/37280237/,57312018,1115,小肉包童话是温暖又真挚的作品，通过想象、幻想和夸张等编写而成，适于儿童听的故...,False,,70
6234075,一星期一本书,一星期一本书,renwen/6234075/,https://www.ximalaya.com/renwen/6234075/,人文,https://www.ximalaya.com/zhubo/68473861/,13378185,1989,一星期一本书，再忙也不忘记充电。,False,,71
2684034,《雪中悍刀行》 | 大斌小说,大斌,youshengshu/2684034/,https://www.ximalaya.com/youshengshu/2684034/,有声书,https://www.ximalaya.com/zhubo/2342717/,392746332,882,【内容简介】 有个白狐儿脸，佩双刀绣冬春雷，要做那天下第一。湖底有白发老魁爱吃...,False,,72
16704269,听堂·微博报,听堂FM,toutiao/16704269/,https://www.ximalaya.com/toutiao/16704269/,头条,https://www.ximalaya.com/zhubo/106322057/,5758276,108,《听堂·微博报》包罗网络热点，每天播热点、评人物、聊八卦、论文化，以最精简的...,False,,73
3144025,“大力”史,大力丸儿,lishi/3144025/,https://www.ximalaya.com/lishi/3144025/,历史,https://www.ximalaya.com/zhubo/36095869/,153819394,450,大力讲历史，简称“大力史”。本人历史初级爱好者一枚，义务劳动，不为任何经济回报，纯粹是为了和大伙一起仰望历史浩瀚星空，去触摸帷帐下的真实。第一集《杨广：大头症毁了大隋》，作者周慕白。作者若有异议，请联,False,,74
11775024,高情商沟通攻略：教你搞定所有人,个人发展学会,jiaoyu/11775024/,https://www.ximalaya.com/jiaoyu/11775024/,教育培训,https://www.ximalaya.com/zhubo/51849078/,7744421,62,教育榜排名前三，专家在这里免费给您解答所有的个人发展困惑和人际沟通交往难题，...,False,,75
